"Comment","Designator","Footprint","LCSC Part #"
"100n","C1 C3 C4","C0402K","C1525"
"10µ","C2","C0805K","C15850"
"LED RED","LED1 LED2 LED3 LED4 LED5 LED6","CHIPLED_0805","C84256"
"LED RED","LED7","CHIPLED_0603","C2286"
"LED BLUE","LED8","CHIPLED_0603"," C72041 "
"22","R1","R0805","C17561"
"10k NTC","R10","R0805","C51597"
"10k","R2 R11","R0402","C25744"
"1k","R3 R5 R6","R0402","C11702"
"100","R4","R0402","C25076"
"4k7","R7 R8","R0402","C25900"
"100k","R9","R0402","C25741"
"Switch","S1","TS-1088","C720477"
"FS8205A","T1","TSSOP-8","C16052 "
"N-FET","T2","SOT-23","C20917"
"TP4056","U$1","ESOP23-8","C16581"
"DW01","U$2","SOT23-6","C14213"
"ATTINY10-TSHR","U1","SOT95P280X145-6N","C128438"
